timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1586165993969,13571,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,32920,378,1,1,http://192.168.1.8/demo/2019/09/10/default,13570,0,16
1586166009028,256,Open Random Page,200,OK,Thread Group 1-1,text,true,,32673,737,1,1,http://192.168.1.8/demo/?page=11),145,0,2
1586166009028,145,Open Random Page-0,301,Moved Permanently,Thread Group 1-1,text,true,,384,368,1,1,http://192.168.1.8/demo?page=11),145,0,2
1586166009175,109,Open Random Page-1,200,OK,Thread Group 1-1,text,true,,32289,369,1,1,http://192.168.1.8/demo/?page=11),109,0,0
1586166010410,1004,Open Random Post,200,OK,Thread Group 1-1,text,true,,26333,379,1,1,http://192.168.1.8/demo/post/Lorem-ipsum100,1003,0,0
1586166012895,28,Open Random Date,200,OK,Thread Group 1-1,text,true,,17372,378,1,1,http://192.168.1.8/demo/2019/09/19/default,27,0,1
1586166013610,148,Open Random Page,200,OK,Thread Group 1-1,text,true,,32673,737,1,1,http://192.168.1.8/demo/?page=12),54,0,0
1586166013610,54,Open Random Page-0,301,Moved Permanently,Thread Group 1-1,text,true,,384,368,1,1,http://192.168.1.8/demo?page=12),54,0,0
1586166013665,93,Open Random Page-1,200,OK,Thread Group 1-1,text,true,,32289,369,1,1,http://192.168.1.8/demo/?page=12),93,0,0
1586166015003,114,Open First Post,200,OK,Thread Group 1-1,text,true,,26333,379,1,1,http://192.168.1.8/demo/post/Lorem-ipsum100,114,0,2
1586166016654,94,Search by Name,200,OK,Thread Group 1-1,text,true,,17328,372,1,1,http://192.168.1.8/demo/search?q=asd,94,0,2
1586166017716,1010,Open Contacts,200,OK,Thread Group 1-1,text,true,,21351,367,1,1,http://192.168.1.8/demo/contact,1010,0,0
1586166019284,298,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,32920,378,1,1,http://192.168.1.8/demo/2019/09/10/default,298,0,3
1586166020269,239,Open Random Page,200,OK,Thread Group 1-1,text,true,,32673,737,1,1,http://192.168.1.8/demo/?page=12),131,0,0
1586166020269,131,Open Random Page-0,301,Moved Permanently,Thread Group 1-1,text,true,,384,368,1,1,http://192.168.1.8/demo?page=12),131,0,0
1586166020400,108,Open Random Page-1,200,OK,Thread Group 1-1,text,true,,32289,369,1,1,http://192.168.1.8/demo/?page=12),108,0,0
1586166021335,57,Open Random Post,200,OK,Thread Group 1-1,text,true,,26333,379,1,1,http://192.168.1.8/demo/post/Lorem-ipsum100,57,0,2
1586166022540,172,Search by Name,200,OK,Thread Group 1-1,text,true,,17328,372,1,1,http://192.168.1.8/demo/search?q=asd,172,0,2
1586166023226,121,Open Contacts,200,OK,Thread Group 1-1,text,true,,21351,367,1,1,http://192.168.1.8/demo/contact,121,0,0
1586166024911,175,Search by Name,200,OK,Thread Group 1-1,text,true,,17328,372,1,1,http://192.168.1.8/demo/search?q=asd,174,0,1
1586166025697,39,Open Contacts,200,OK,Thread Group 1-1,text,true,,21351,367,1,1,http://192.168.1.8/demo/contact,39,0,0
1586166026577,50,Search by Name,200,OK,Thread Group 1-1,text,true,,17328,372,1,1,http://192.168.1.8/demo/search?q=asd,50,0,2
