timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1582715188732,14,Open Large Calendar,200,OK,Thread Group 1-1,text,true,,20918,383,1,1,http://10.17.175.19/demo/calendar/default.aspx,14,0,1
1582715188754,9,Open Contacts,200,OK,Thread Group 1-1,text,true,,21400,369,1,1,http://10.17.175.19/demo/contact,8,0,0
1582792912903,37,Open Random Date,200,OK,Thread Group 1-1,text,true,,32115,380,1,1,http://10.17.175.19/demo/2019/09/19/default,37,0,5
1582792912954,18,Open Random Page,200,OK,Thread Group 1-1,text,true,,32439,741,1,1,http://10.17.175.19/demo/?page=11),3,0,0
1582792912954,3,Open Random Page-0,301,Moved Permanently,Thread Group 1-1,text,true,,386,370,1,1,http://10.17.175.19/demo?page=11),3,0,0
1582792912958,14,Open Random Page-1,200,OK,Thread Group 1-1,text,true,,32053,371,1,1,http://10.17.175.19/demo/?page=11),14,0,0
1582792912983,291,Open Random Post,200,OK,Thread Group 1-1,text,true,,26352,381,1,1,http://10.17.175.19/demo/post/Lorem-ipsum100,291,0,0
1582792913281,22,Open Large Calendar,200,OK,Thread Group 1-1,text,true,,20918,383,1,1,http://10.17.175.19/demo/calendar/default.aspx,22,0,0
1582792913312,156,Open Contacts,200,OK,Thread Group 1-1,text,true,,21400,369,1,1,http://10.17.175.19/demo/contact,156,0,0
1582792913469,19,Open Contacts,200,OK,Thread Group 1-1,text,true,,21400,369,1,1,http://10.17.175.19/demo/contact,19,0,0
1582792913488,13,Open Contacts,200,OK,Thread Group 1-1,text,true,,21400,369,1,1,http://10.17.175.19/demo/contact,13,0,1
1582792913502,15,Open Home Page,200,OK,Thread Group 1-1,text,true,,32412,723,1,1,http://10.17.175.19/demo/,4,0,1
1582792913502,4,Open Home Page-0,301,Moved Permanently,Thread Group 1-1,text,true,,368,361,1,1,http://10.17.175.19/demo,4,0,1
1582792913506,11,Open Home Page-1,200,OK,Thread Group 1-1,text,true,,32044,362,1,1,http://10.17.175.19/demo/,11,0,0
