timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1584372384833,27,Open Home Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,32311,363,1,1,null,0,455,0
1584372385287,27,Open Home Page,200,OK,Thread Group 1-1,text,true,,32311,363,1,1,http://10.17.175.19/demo/,27,0,1
1584372385316,6,Login,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,5713,1414,1,1,null,0,703,0
1584372385767,3,Login.Open,200,OK,Thread Group 1-1,text,true,,4543,381,1,1,http://10.17.175.19/demo/Account/login.aspx,3,0,0
1584372386020,3,Login.Submit,302,Found,Thread Group 1-1,text,true,,1170,1033,1,1,http://10.17.175.19/demo/Account/login.aspx,3,0,0
1584372386025,8,Open Admin Page,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,16924,2357,1,1,null,0,328,0
1584372386059,4,Open Admin Page,200,OK,Thread Group 1-1,text,true,,8978,1169,1,1,http://10.17.175.19/demo/admin/,4,0,0
1584372386330,4,Get users,200,OK,Thread Group 1-1,text,true,,7946,1188,1,1,http://10.17.175.19/demo/api/users?filter=1+%3D%3D+1&order=UserName&skip=0&take=0,4,0,0
1584372386533,5,Delete User,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,182,1711,1,1,null,0,104,0
1584372386637,5,Delete User,200,OK,Thread Group 1-1,,true,,182,1711,1,1,http://10.17.175.19/demo/api/users/processchecked/delete,5,0,0
1584372386647,4,Open Admin Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,7494,1188,1,1,null,0,595,0
1584372387241,4,Get users,200,OK,Thread Group 1-1,text,true,,7494,1188,1,1,http://10.17.175.19/demo/api/users?filter=1+%3D%3D+1&order=UserName&skip=0&take=0,4,0,0
1584372387246,8,Delete User,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,182,1711,1,1,null,0,452,0
1584372387698,8,Delete User,200,OK,Thread Group 1-1,,true,,182,1711,1,1,http://10.17.175.19/demo/api/users/processchecked/delete,8,0,1
1584372387706,4,Open Admin Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,7042,1188,1,1,null,0,275,0
